Instrument,File,Time,Chord,Channel
Violin,Violin-5.wav,9,F:maj,Channel 2
Violin,Violin-5.wav,10,F:maj,Channel 2
Violin,Violin-6.wav,0,D:maj,Channel 1
Violin,Violin-6.wav,1,D:maj,Channel 1
Violin,Violin-6.wav,2,D:maj,Channel 1
Violin,Violin-6.wav,3,D:maj,Channel 1
Violin,Violin-6.wav,4,D:maj,Channel 1
Violin,Violin-6.wav,5,A:min,Channel 1
Violin,Violin-6.wav,6,E:min,Channel 1
Violin,Violin-6.wav,7,C#:min,Channel 1
Violin,Violin-6.wav,8,G:maj,Channel 1
Violin,Violin-6.wav,9,A#:min,Channel 1
Violin,Violin-6.wav,10,A:maj,Channel 1
Violin,Violin-6.wav,0,D:maj,Channel 2
Violin,Violin-6.wav,1,D:maj,Channel 2
Violin,Violin-6.wav,2,D:maj,Channel 2
Violin,Violin-6.wav,3,G:min,Channel 2
Violin,Violin-6.wav,4,G:min,Channel 2
Violin,Violin-6.wav,5,D:maj,Channel 2
Violin,Violin-6.wav,6,E:min,Channel 2
Violin,Violin-6.wav,7,C#:min,Channel 2
Violin,Violin-6.wav,8,G:maj,Channel 2
Violin,Violin-6.wav,9,A#:min,Channel 2
Violin,Violin-6.wav,10,A:maj,Channel 2
Violin,Violin-7.wav,0,G:min,Channel 1
Violin,Violin-7.wav,1,C:maj,Channel 1
Violin,Violin-7.wav,2,C:maj,Channel 1
Violin,Violin-7.wav,3,F:maj,Channel 1
Violin,Violin-7.wav,4,D:min,Channel 1
Violin,Violin-7.wav,5,A:min,Channel 1
Violin,Violin-7.wav,6,F:maj,Channel 1
Violin,Violin-7.wav,7,F:maj,Channel 1
Violin,Violin-7.wav,8,D:min,Channel 1
Violin,Violin-7.wav,9,F:maj,Channel 1
Violin,Violin-7.wav,10,F:maj,Channel 1
Violin,Violin-7.wav,0,F:maj,Channel 2
Violin,Violin-7.wav,1,C:maj,Channel 2
Violin,Violin-7.wav,2,C:maj,Channel 2
Violin,Violin-7.wav,3,C:maj,Channel 2
Violin,Violin-7.wav,4,A:min,Channel 2
Violin,Violin-7.wav,5,A:min,Channel 2
Violin,Violin-7.wav,6,F:maj,Channel 2
Violin,Violin-7.wav,7,F:maj,Channel 2
Violin,Violin-7.wav,8,F:maj,Channel 2
Violin,Violin-7.wav,9,F:maj,Channel 2
Violin,Violin-7.wav,10,F:maj,Channel 2
Violin,Violin-8.wav,0,F:maj,Channel 1
Violin,Violin-8.wav,1,F:maj,Channel 1
Violin,Violin-8.wav,2,A:maj,Channel 1
Violin,Violin-8.wav,3,A:maj,Channel 1
Violin,Violin-8.wav,4,A:maj,Channel 1
Violin,Violin-8.wav,5,A:maj,Channel 1
Violin,Violin-8.wav,6,A:maj,Channel 1
Violin,Violin-8.wav,7,D:min,Channel 1
Violin,Violin-8.wav,8,D:min,Channel 1
Violin,Violin-8.wav,9,D:min,Channel 1
Violin,Violin-8.wav,10,C:maj,Channel 1
Violin,Violin-8.wav,0,F:maj,Channel 2
Violin,Violin-8.wav,1,F:maj,Channel 2
Violin,Violin-8.wav,2,A#:maj,Channel 2
Violin,Violin-8.wav,3,A#:maj,Channel 2
Violin,Violin-8.wav,4,A:maj,Channel 2
Violin,Violin-8.wav,5,A:maj,Channel 2
Violin,Violin-8.wav,6,A:maj,Channel 2
Violin,Violin-8.wav,7,D:min,Channel 2
Violin,Violin-8.wav,8,D:min,Channel 2
Violin,Violin-8.wav,9,D:min,Channel 2
Violin,Violin-8.wav,10,C:maj,Channel 2
Violin,Violin-9.wav,0,E:maj,Channel 1
Violin,Violin-9.wav,1,D:maj,Channel 1
Violin,Violin-9.wav,2,A:min,Channel 1
Violin,Violin-9.wav,3,A:min,Channel 1
Violin,Violin-9.wav,4,A:maj,Channel 1
Violin,Violin-9.wav,5,B:maj,Channel 1
Violin,Violin-9.wav,6,B:maj,Channel 1
Violin,Violin-9.wav,7,B:maj,Channel 1
Violin,Violin-9.wav,8,C:maj,Channel 1
Violin,Violin-9.wav,9,A:maj,Channel 1
Violin,Violin-9.wav,10,D:min,Channel 1
